object_id,max_state_difference_percent,max_energy_difference_percent,state_tolerance_percent,energy_tolerance_percent,state_status,energy_status,failed_metrics,overall_status
MSTR-201_CONDENSADO_CALIENTE,1.0062480177770367e-13,1.0062480177770367e-13,0.05,0.05,PASS,PASS,,PASS
MSTR-202_MEZCLA_FLASH,2.0124960357064164e-13,2.0124960357064164e-13,0.05,0.05,PASS,PASS,,PASS
MSTR-203_VAPOR_FLASH,4.86903934813802e-13,0.00042729982460585833,0.05,0.05,PASS,PASS,,PASS
MSTR-204_LIQUIDO_FLASH,2.2157645439136616e-13,0.11555459624896086,0.05,0.05,PASS,FAIL,energy_flow_kW,FAIL
