object_id,object_type,temperature_K,pressure_Pa,mass_flow_kg_s,molar_flow_mol_s,volumetric_flow_m3_s,density_kg_m3,vapor_molar_fraction,vapor_mass_fraction,specific_enthalpy_kJ_kg,methanol_mass_fraction,methanol_mass_flow_kg_s,energy_flow_kW
MSTR-301_CONDENSADO_CALIENTE,material_stream,406.649349770717,300000,8.951122,496.723768876555,0.0096519255801242,927.392355617895,8.06876186610142e-06,8.08093885493838e-06,-2052.32697030073,0.000639088654938267,0.00572056051916833,-18370.6290950522
MSTR-302_AGUA_FRIA,material_stream,293.15,350000,5,277.54217530896,0.00501199357309323,997.607025444403,0,0,-2656.95382702834,0,0,-13284.7691351417
MSTR-303_CONDENSADO_ENFRIADO,material_stream,384.156247979128,300000,8.951122,496.723768876555,0.00942200736829584,950.022818929188,0,0,-2171.29046594299,0.000639088654938267,0.00572056051916833,-19435.4858580926
MSTR-304_AGUA_PRECALENTADA,material_stream,333.204676360266,350000,5,277.54217530896,0.00508794730413973,982.714580383297,0,0,-2443.982476663,0,0,-12219.912383315
